OBJECTID,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,Shape_Length,Shape_Area
22,48,021,01383796,0500000US48021,48021,Bastrop,06,2300370292,19079348,1.830465558,0.216961419
99,48,285,01383928,0500000US48285,48285,Lavaca,06,2511535251,1882216,1.885706834,0.236204763
147,48,025,01383798,0500000US48025,48025,Bee,06,2279809496,246409,2.014841237,0.209778648
334,48,481,01384026,0500000US48481,48481,Wharton,06,2813117310,21287759,2.173229833,0.262282745
388,48,149,01383860,0500000US48149,48149,Fayette,06,2460152118,25739448,1.993496661,0.231272314
593,48,175,01383873,0500000US48175,48175,Goliad,06,2206698607,19050015,1.803990393,0.20710284
687,48,123,01383844,0500000US48123,48123,DeWitt,06,2354237927,3919919,2.015850678,0.21893479
1016,48,039,01383805,0500000US48039,48039,Brazoria,06,3528352491,637937977,2.575484236,0.360014638
1424,48,391,01383981,0500000US48391,48391,Refugio,06,1995545559,123687613,2.175242189,0.196406936
1697,48,473,01384022,0500000US48473,48473,Waller,06,1329535449,11622558,1.892029745,0.126622255
1803,48,355,01383963,0500000US48355,48355,Nueces,06,2171227881,847257833,2.508097763,0.264230855
1949,48,339,01383955,0500000US48339,48339,Montgomery,06,2700380211,88754575,2.395851074,0.261228437
2100,48,409,01383990,0500000US48409,48409,San Patricio,06,1795990945,37577389,1.957453596,0.165963908
2112,48,177,01383874,0500000US48177,48177,Gonzales,06,2762704863,8204087,2.06941106,0.256479008
2171,48,287,01383929,0500000US48287,48287,Lee,06,1629205077,13106451,1.838107628,0.150884807
2189,48,469,01384020,0500000US48469,48469,Victoria,06,2284644914,17425944,2.070641518,0.207358114
2201,48,321,01383943,0500000US48321,48321,Matagorda,06,2830586734,1345801267,2.702265916,0.331016737
2262,48,055,01383813,0500000US48055,48055,Caldwell,06,1412150551,4973307,1.495619265,0.131090487
2456,48,201,01383886,0500000US48201,48201,Harris,06,4416454882,187141456,3.101433124,0.431001663
2540,48,007,01383789,0500000US48007,48007,Aransas,06,652804638,714591509,1.710431354,0.109619613
2623,48,157,01383864,0500000US48157,48157,Fort Bend,06,2231486504,61532084,1.966703335,0.21454587
2638,48,057,01383814,0500000US48057,48057,Calhoun,06,1312707008,1361884769,2.206487983,0.219406346
2794,48,185,01383878,0500000US48185,48185,Grimes,06,2039530033,36607095,1.940543747,0.19651983
2806,48,477,01384024,0500000US48477,48477,Washington,06,1564829004,45497797,1.885403456,0.153702942
2903,48,239,01383905,0500000US48239,48239,Jackson,06,2148246713,71039573,1.975151326,0.206286503
2968,48,089,01383830,0500000US48089,48089,Colorado,06,2487123834,34710042,2.206960914,0.235307291
3086,48,015,01383793,0500000US48015,48015,Austin,06,1674405805,25606290,1.861567357,0.155738491
